Gene,LogFC,PValue,FDR
PTGDS,0.3753975714435249,1.22311404029633e-10,2.660884594664665e-06
DGKK,0.2180995917512831,2.0887048085076405e-08,0.0001310722464949
KIAA0319L,0.1962608081231023,2.5975666996093143e-08,0.0001310722464949
KIR2DL3,0.2493906207474081,3.4149428194559915e-08,0.0001310722464949
PPP4C,0.2069763006385407,3.542186321502369e-08,0.0001310722464949
LILRB1,0.2157334554590173,3.614955086048975e-08,0.0001310722464949
MBOAT7,0.1867748665340745,6.137135535511563e-08,0.0001903822680201
LRRC25,0.2812083115251749,7.000956764702456e-08,0.0001903822680201
KIR2DL1,0.2310232387731599,9.570813530834438e-08,0.0002313478315147
TNFAIP2,0.2077263686799941,1.7619319145968332e-07,0.0003496837314286
LSP1,0.2496967026065082,1.7681089614868353e-07,0.0003496837314286
ABHD2,0.2257545552880433,2.022316514304997e-07,0.0003666291314058
RHOG,0.224625143933844,2.5322109326922946e-07,0.0004237557603132
APOBR,0.2471538783628188,2.861132832167417e-07,0.0004249570798029
IFITM3,0.1741280435465277,2.930064903260801e-07,0.0004249570798029
ADGRG3,0.3209608290589347,3.5781564896280975e-07,0.0004701915155541
SH2B2,0.2340833246100695,3.678964727834952e-07,0.0004701915155541
HLA-C,0.1089258609860799,3.890345796357395e-07,0.0004701915155541
PLOD1,0.2002808751177633,4.725326717416621e-07,0.0005410499091442
MGRN1,0.1861656652360519,5.107534864173448e-07,0.0005435184958821
PLIN3,0.2200942740500355,5.246558682383531e-07,0.0005435184958821
IKBKG,0.1091790013608289,6.90887965877679e-07,0.0006831939862576
RAB3D,0.1645985344917822,7.854723551214768e-07,0.000742954395029
LOC102724984,0.1597952266303774,8.390418900511818e-07,0.0007498919641179
TRAFD1,0.1195058934366173,9.017984172149502e-07,0.0007498919641179
ZYX,0.3188360515021475,9.1598086135629e-07,0.0007498919641179
TPD52L2,0.1816583062912169,9.306864183491384e-07,0.0007498919641179
SLC15A3,0.213192902753061,1.028123862184334e-06,0.0007888014258782
ILK,0.1508625353292156,1.0514935118578645e-06,0.0007888014258782
C15orf39,0.2150975400397774,1.1143219427981452e-06,0.0008080691288524
TNFSF14,0.1648862660944203,1.2365560028246713e-06,0.0008677830916597
SH2D3C,0.2110730451167173,1.3828677140258937e-06,0.0009175728344044
NACC2,0.2068424473987224,1.3918595051870934e-06,0.0009175728344044
TLE3,0.2282112791793169,1.590375376274665e-06,0.0009672565065307
AGTRAP,0.1707681217069678,1.6196009805356963e-06,0.0009672565065307
FCGRT,0.2182265466345647,1.619865509426051e-06,0.0009672565065307
PLEKHG3,0.1238871820370555,1.6450696732539086e-06,0.0009672565065307
GPX3,0.3024651313723439,1.7285115897947497e-06,0.0009694097634448
KIR3DL1,0.2228075787710652,1.799605356145462e-06,0.0009694097634448
PILRA,0.2096216162462063,1.8259629892772964e-06,0.0009694097634448
TYROBP,0.1846937297184148,1.8269731234769088e-06,0.0009694097634448
MGAT1,0.1650744896891023,1.887121088570629e-06,0.000977483792425
RPS6KA1,0.1855174081440402,2.027362207599441e-06,0.0010147545570134
LILRA2,0.2240371506333076,2.052364996947427e-06,0.0010147545570134
PTPN6,0.1914867162148006,2.321335853953416e-06,0.0010251983809662
KIR3DL3,0.2482163090128759,2.3772702022990083e-06,0.0010251983809662
CXCL16,0.1969769496493265,2.392489054412772e-06,0.0010251983809662
PLAUR,0.1750013538504466,2.402075965249117e-06,0.0010251983809662
EFHD2,0.2111256673296342,2.4214368743164315e-06,0.0010251983809662
MAST3,0.1919237935727018,2.4753003376905734e-06,0.0010251983809662
SPI1,0.3113553229352046,2.512556835856784e-06,0.0010251983809662
GNB2,0.2025365225583577,2.5182766708416424e-06,0.0010251983809662
P2RX1,0.2266598136710982,2.5387037126156403e-06,0.0010251983809662
RNF19B,0.3051759133256571,2.5447351216814467e-06,0.0010251983809662
TFE3,0.1077393227258465,2.7213869502340104e-06,0.0010691115953967
OS9,0.1591886841829772,2.837210280417541e-06,0.0010691115953967
NCF1,0.1710742803307852,2.8856629451695285e-06,0.0010691115953967
UPF1,0.1322407830001051,2.906481307724893e-06,0.0010691115953967
IFITM2,0.1495039778080169,2.916131956348788e-06,0.0010691115953967
KDM6B,0.2264289793782055,2.9485955285591403e-06,0.0010691115953967
ZBED1,0.1926497958756412,3.0732478308917e-06,0.0010921765818503
SIRPB1,0.1715294322900318,3.112615402193479e-06,0.0010921765818503
CTSD,0.1965386998848535,3.2272321483987792e-06,0.0011144196093399
DGKH,-0.079889952894379,3.4327260662967945e-06,0.0011511499559204
FES,0.2041246519417985,3.461412514607024e-06,0.0011511499559204
PREX1,0.1746598555427638,3.492341856619108e-06,0.0011511499559204
MIR6837,0.195781576468125,3.596693760693049e-06,0.0011678518322966
S100A11,0.1894135454830952,3.6673665233812746e-06,0.0011732876281788
